,instrument,instrument_family,instrument_source,note,pitch,qualities,velocity
guitar_electronic_022-063-127,378,3,1,113864,63,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
mallet_acoustic_056-094-127,590,5,0,168776,94,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
vocal_acoustic_000-063-025,46,10,0,36191,63,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
bass_synthetic_134-033-050,914,0,2,238195,33,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
bass_synthetic_068-106-050,656,0,2,231218,106,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",50
guitar_electronic_028-090-100,510,3,1,186421,90,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_007-041-025,123,6,1,289441,41,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
bass_electronic_027-051-025,880,0,1,221528,51,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
organ_electronic_028-064-025,440,6,1,22178,64,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_069-054-100,805,4,1,292521,54,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_015-035-127,316,3,0,168330,35,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",127
guitar_electronic_028-043-127,510,3,1,99552,43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
flute_synthetic_000-101-025,82,2,2,95994,101,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
string_acoustic_080-038-075,675,8,0,102370,38,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",75
guitar_electronic_028-097-075,510,3,1,174503,97,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
mallet_acoustic_062-079-100,644,5,0,7362,79,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",100
organ_electronic_104-057-025,921,6,1,7198,57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
string_acoustic_056-064-075,436,8,0,57412,64,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",75
keyboard_acoustic_004-076-025,327,4,0,209648,76,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",25
string_acoustic_071-052-100,609,8,0,62424,52,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",100
brass_acoustic_059-056-075,572,1,0,23144,56,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
keyboard_electronic_002-060-025,50,4,1,104881,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_009-015-050,150,0,2,255001,15,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",50
brass_acoustic_006-059-075,43,1,0,89721,59,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
guitar_acoustic_014-108-025,263,3,0,6861,108,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
guitar_acoustic_014-099-100,263,3,0,134273,99,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100
bass_synthetic_135-035-127,927,0,2,185642,35,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_009-063-025,150,0,2,275831,63,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",25
keyboard_electronic_069-089-050,805,4,1,240018,89,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_009-021-075,150,0,2,202204,21,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",75
mallet_acoustic_062-091-075,644,5,0,186865,91,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",75
bass_synthetic_068-086-100,656,0,2,216167,86,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100
guitar_electronic_028-023-050,510,3,1,164194,23,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
reed_acoustic_037-046-050,387,7,0,10523,46,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
keyboard_electronic_001-022-050,40,4,1,142812,22,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_104-055-127,921,6,1,237526,55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
brass_acoustic_059-055-075,572,1,0,37824,55,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
reed_acoustic_037-066-075,387,7,0,102508,66,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
keyboard_electronic_098-055-100,905,4,1,98587,55,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_010-055-025,219,3,0,187051,55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
reed_acoustic_023-084-025,224,7,0,33473,84,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",25
brass_acoustic_046-060-100,414,1,0,81540,60,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_134-074-025,914,0,2,247454,74,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",25
organ_electronic_007-054-127,123,6,1,290455,54,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
keyboard_electronic_001-055-100,40,4,1,202662,55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_014-057-127,263,3,0,145968,57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_033-090-075,417,0,2,206723,90,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
brass_acoustic_006-082-075,43,1,0,44709,82,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
bass_synthetic_033-093-100,417,0,2,29810,93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_135-082-075,927,0,2,219928,82,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_010-055-127,219,3,0,104636,55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
brass_acoustic_006-036-075,43,1,0,32580,36,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
keyboard_electronic_003-082-100,65,4,1,209630,82,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_098-067-050,803,0,2,276162,67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_010-054-050,219,3,0,82494,54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_010-036-075,219,3,0,3976,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_021-031-050,457,3,0,26507,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
reed_acoustic_023-082-100,224,7,0,124500,82,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",100
bass_synthetic_135-108-025,927,0,2,255626,108,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
brass_acoustic_059-053-050,572,1,0,84932,53,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
bass_synthetic_033-100-025,417,0,2,245705,100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
flute_acoustic_002-085-100,86,2,0,129462,85,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",100
organ_electronic_057-028-127,701,6,1,224462,28,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",127
vocal_synthetic_003-029-025,37,10,2,56042,29,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
bass_synthetic_098-089-025,803,0,2,258588,89,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_135-098-050,927,0,2,199038,98,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
bass_electronic_018-036-025,759,0,1,205439,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
flute_synthetic_000-051-127,82,2,2,120308,51,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
mallet_acoustic_056-105-025,590,5,0,165343,105,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
vocal_synthetic_003-098-100,37,10,2,9535,98,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
brass_acoustic_059-035-100,572,1,0,77182,35,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
bass_synthetic_098-038-100,803,0,2,128331,38,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_135-061-127,927,0,2,286809,61,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
mallet_acoustic_062-095-127,644,5,0,149886,95,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",127
bass_synthetic_068-027-050,656,0,2,165993,27,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
brass_acoustic_046-088-075,414,1,0,21132,88,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",75
flute_acoustic_002-068-075,86,2,0,74104,68,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",75
brass_acoustic_015-044-050,121,1,0,4965,44,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
organ_electronic_057-049-050,701,6,1,219995,49,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_002-088-050,50,4,1,304608,88,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",50
flute_synthetic_000-087-100,82,2,2,112526,87,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_057-046-050,701,6,1,256442,46,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_electronic_025-041-025,872,0,1,198052,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_001-088-025,40,4,1,194535,88,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",25
brass_acoustic_046-087-050,414,1,0,14837,87,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",50
brass_acoustic_046-074-127,414,1,0,9526,74,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_002-100-100,50,4,1,3839,100,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100
organ_electronic_104-066-075,921,6,1,152426,66,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_acoustic_004-095-127,327,4,0,293403,95,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",127
brass_acoustic_059-039-025,572,1,0,12829,39,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
guitar_electronic_022-055-025,378,3,1,156503,55,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
string_acoustic_056-039-025,436,8,0,23793,39,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",25
string_acoustic_080-047-075,675,8,0,121793,47,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
string_acoustic_057-061-075,450,8,0,13728,61,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",75
keyboard_electronic_098-108-025,905,4,1,158330,108,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
bass_synthetic_009-030-127,150,0,2,125204,30,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",127
mallet_acoustic_062-080-127,644,5,0,91397,80,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",127
bass_synthetic_068-101-100,656,0,2,277318,101,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100
keyboard_synthetic_000-104-050,577,4,2,247888,104,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]",50
keyboard_electronic_002-032-075,50,4,1,213542,32,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_001-038-025,40,4,1,226214,38,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",25
bass_electronic_027-055-100,880,0,1,31266,55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_electronic_028-025-025,510,3,1,77204,25,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
reed_acoustic_011-043-075,104,7,0,102642,43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_021-040-050,457,3,0,94695,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
string_acoustic_012-050-127,97,8,0,73271,50,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
mallet_acoustic_056-078-025,590,5,0,52884,78,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",25
vocal_synthetic_003-036-075,37,10,2,18543,36,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",75
flute_synthetic_000-082-127,82,2,2,137522,82,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
bass_electronic_018-025-050,759,0,1,54723,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_electronic_022-078-075,378,3,1,300073,78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_007-012-025,123,6,1,289712,12,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
mallet_acoustic_056-089-050,590,5,0,112390,89,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_021-043-050,457,3,0,170279,43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_134-085-100,914,0,2,178442,85,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",100
brass_acoustic_016-061-100,128,1,0,26395,61,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_033-083-025,417,0,2,263413,83,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
organ_electronic_007-045-075,123,6,1,259524,45,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",75
organ_electronic_113-083-127,958,6,1,221981,83,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_098-080-050,905,4,1,293875,80,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_069-049-127,805,4,1,76850,49,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_003-076-075,65,4,1,287030,76,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_098-024-025,905,4,1,62742,24,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
vocal_synthetic_003-079-127,37,10,2,46590,79,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
keyboard_electronic_002-059-100,50,4,1,193350,59,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
bass_electronic_027-034-127,880,0,1,277495,34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
organ_electronic_007-071-050,123,6,1,261850,71,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
reed_acoustic_023-088-100,224,7,0,36964,88,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",100
string_acoustic_056-042-050,436,8,0,86953,42,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",50
guitar_acoustic_021-096-075,457,3,0,132289,96,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",75
mallet_acoustic_056-088-025,590,5,0,49455,88,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",25
flute_synthetic_000-044-050,82,2,2,5478,44,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_078-085-050,838,4,1,208867,85,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_033-027-127,417,0,2,207241,27,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
string_acoustic_056-056-050,436,8,0,70941,56,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",50
keyboard_synthetic_000-061-075,577,4,2,18908,61,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",75
brass_acoustic_006-040-100,43,1,0,1171,40,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
guitar_acoustic_021-027-100,457,3,0,68013,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_synthetic_000-108-127,577,4,2,269335,108,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]",127
string_acoustic_012-025-100,97,8,0,92360,25,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",100
string_acoustic_056-044-075,436,8,0,4879,44,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",75
guitar_acoustic_015-049-100,316,3,0,160700,49,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
mallet_acoustic_062-058-050,644,5,0,4915,58,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",50
keyboard_electronic_002-099-075,50,4,1,196299,99,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",75
flute_acoustic_002-091-050,86,2,0,64166,91,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",50
reed_acoustic_037-073-127,387,7,0,120364,73,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
brass_acoustic_015-070-075,121,1,0,91256,70,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
organ_electronic_007-073-025,123,6,1,171486,73,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
reed_acoustic_023-069-025,224,7,0,79120,69,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",25
bass_synthetic_033-102-025,417,0,2,182764,102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_134-075-050,914,0,2,101489,75,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",50
guitar_electronic_028-028-025,510,3,1,32609,28,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_014-032-050,263,3,0,156951,32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_134-065-050,914,0,2,124283,65,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
brass_acoustic_059-050-100,572,1,0,88715,50,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
keyboard_electronic_098-037-127,905,4,1,204860,37,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",127
guitar_acoustic_014-051-100,263,3,0,42796,51,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_014-096-127,263,3,0,169795,96,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",127
guitar_acoustic_021-027-127,457,3,0,107426,27,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_078-068-100,838,4,1,302005,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_113-042-100,958,6,1,191761,42,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_134-071-100,914,0,2,90825,71,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",100
bass_electronic_018-034-025,759,0,1,263400,34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
flute_acoustic_002-104-075,86,2,0,111906,104,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
bass_synthetic_135-026-100,927,0,2,262390,26,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
brass_acoustic_015-074-075,121,1,0,93924,74,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
organ_electronic_028-051-127,440,6,1,171837,51,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",127
bass_synthetic_009-065-025,150,0,2,242742,65,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",25
keyboard_electronic_002-094-127,50,4,1,297648,94,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",127
guitar_electronic_022-057-075,378,3,1,34050,57,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
mallet_acoustic_062-057-050,644,5,0,24916,57,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",50
vocal_synthetic_003-043-127,37,10,2,37058,43,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
bass_synthetic_135-053-025,927,0,2,272431,53,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_001-060-025,40,4,1,115953,60,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_014-058-100,263,3,0,58474,58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_001-021-100,40,4,1,103841,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
string_acoustic_014-052-100,100,8,0,120105,52,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",100
keyboard_acoustic_004-104-100,327,4,0,230313,104,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",100
brass_acoustic_046-102-075,414,1,0,95828,102,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",75
string_acoustic_012-024-100,97,8,0,17631,24,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",100
guitar_acoustic_021-037-050,457,3,0,42321,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
mallet_acoustic_062-099-100,644,5,0,17000,99,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",100
bass_synthetic_009-029-100,150,0,2,216802,29,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",100
bass_electronic_025-029-025,872,0,1,214820,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_021-072-100,457,3,0,89269,72,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100
flute_synthetic_000-027-050,82,2,2,53577,27,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_057-043-100,701,6,1,287581,43,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_068-107-025,656,0,2,256843,107,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
reed_acoustic_018-059-050,183,7,0,121669,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
string_acoustic_014-054-025,100,8,0,93033,54,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",25
bass_synthetic_034-071-025,420,0,2,230037,71,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",25
vocal_synthetic_003-054-025,37,10,2,59245,54,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
reed_acoustic_037-076-025,387,7,0,123632,76,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
keyboard_electronic_002-035-100,50,4,1,43606,35,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
guitar_electronic_028-085-050,510,3,1,143165,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_002-088-127,50,4,1,48481,88,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",127
brass_acoustic_006-080-100,43,1,0,7157,80,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
bass_synthetic_068-059-127,656,0,2,270341,59,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",127
string_acoustic_056-060-025,436,8,0,87494,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
bass_electronic_018-051-127,759,0,1,198586,51,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
reed_acoustic_037-075-127,387,7,0,42911,75,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
organ_electronic_001-063-100,8,6,1,302802,63,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_electronic_027-052-100,880,0,1,22220,52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_021-025-050,457,3,0,145034,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
string_acoustic_057-073-075,450,8,0,89374,73,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",75
keyboard_synthetic_000-035-075,577,4,2,287432,35,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",75
brass_acoustic_016-052-100,128,1,0,4408,52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_021-087-127,457,3,0,106247,87,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",127
guitar_acoustic_014-083-100,263,3,0,91637,83,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100
reed_acoustic_037-058-025,387,7,0,65050,58,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
organ_electronic_113-038-075,958,6,1,304209,38,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
string_acoustic_057-055-127,450,8,0,116383,55,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",127
keyboard_electronic_078-048-075,838,4,1,180486,48,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_098-102-075,803,0,2,253016,102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
vocal_synthetic_003-052-127,37,10,2,29315,52,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
bass_synthetic_033-026-075,417,0,2,173037,26,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_034-074-050,420,0,2,52651,74,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",50
brass_acoustic_006-065-100,43,1,0,64755,65,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
string_acoustic_071-048-127,609,8,0,101431,48,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",127
vocal_acoustic_000-058-075,46,10,0,47598,58,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
bass_synthetic_034-091-050,420,0,2,262774,91,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",50
vocal_synthetic_003-099-025,37,10,2,52838,99,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
keyboard_electronic_002-033-075,50,4,1,145861,33,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
vocal_synthetic_003-042-100,37,10,2,9501,42,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
string_acoustic_056-048-075,436,8,0,94410,48,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",75
mallet_acoustic_056-061-075,590,5,0,119076,61,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",75
bass_synthetic_034-075-025,420,0,2,149001,75,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",25
string_acoustic_071-035-127,609,8,0,74121,35,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",127
keyboard_synthetic_000-065-075,577,4,2,299537,65,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",75
mallet_acoustic_062-037-050,644,5,0,158280,37,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",50
keyboard_synthetic_000-087-025,577,4,2,288183,87,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",25
organ_electronic_104-068-100,921,6,1,288955,68,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_001-064-050,8,6,1,272237,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_104-075-025,921,6,1,206995,75,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
organ_electronic_007-039-075,123,6,1,232158,39,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",75
organ_electronic_113-071-025,958,6,1,217520,71,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
